title,year,synopsis
The Maltese Falcon ,1941,"
                                                        At the Spade and Archer detective agency in San Francisco, Samuel Spade is interviewed by the beautiful Miss Wonderly, who wishes to hire him to find her runaway sister.  Sam's partner, Miles Archer, agrees to be present when Wonderly meets Floyd Thursby, her sister's seducer, and then follow him to his hotel in hopes of finding the missing girl.  Later that night, Sam learns that Miles has been shot.  He calls Wonderly and learns that she has checked out of her hotel. Then Thursby is found with four bullet holes in his back and Sam is visited by Lt. Dundy and Detective Tom Polhaus, two policemen, who suspect him of murdering Thursby out of revenge for Miles's death.  The following morning, Wonderly summons Sam to her new address, where she confesses that her real name is Brigid O'Shaughnessy and that the story she related the day before was completely false.  Despite his doubts that she has told him the whole truth, Sam accepts her as his client.  The announcement of Thursby's death draws an inquiry from a mysterious little man named Joel Cairo, who tells Sam that he is trying to recover a statue of a black falcon.  When Sam denies any knowledge of the statue, Cairo pulls a gun and demands to search the office.  Sam disarms Cairo, who offers the detective $5,000 to find the bird.  Sam accepts the offer, and Cairo once again holds Sam at gunpoint while he searches the office.  When Brigid learns of Cairo's visit, she asks Sam to set up a meeting with him and tells Cairo that she doesn't have the ...
                                                        "
Apocalypse Now ,1979,"
                                                        In 1968, while waiting for his next assignment during the Vietnam War, Army Captain Benjamin Willard gets drunk and wrecks his hotel room in Saigon, South Vietnam.  Because of his experience with reconnaissance operations, Willard is soon escorted to COMSEC Intelligence and briefed on a priority, classified mission to terminate the command of Special Forces Colonel Walter E. Kurtz, a decorated and brilliant officer who has apparently gone insane and is wanted for the murder of South Vietnamese intelligence agents.  The General and Colonel at COMSEC relay that Kurtz has deserted the military and crossed into Cambodia with his own army of Montagnard Indians who regard him as a god-like figure.  Although privately ambivalent about assassinating a fellow American officer, Willard accepts the mission and boards a Navy patrol boat (PBR), commanded by Chief, that will ferry him up the Nung River towards Kurtz’s outpost in Cambodia.  Chief’s three young crew members consist of a saucier from New Orleans, LA known as Chef; champion surfer Lance Johnson from Southern California; and Clean, a teenager from the Bronx, NY. Needing an escort into the mouth of the Nung, the PBR seeks the transport assistance of the First of the Ninth, an Air Cavalry division of fighter helicopters led by Lt Colonel Kilgore.  When Willard and the crew reach the Air Cavalry, the division is busy finishing up a raid on a coastal village, but Kilgore, an avid surfing fan, stops immediately upon learning that the famous Lance Johnson is present.  Motivated by the surfing possibilities, Kilgore plans to transfer the PBR and its crew to an access point near the river that promises great ...
                                                        "
Double Indemnity ,1944,"
                                                        On a dark Los Angeles night in July 1938, insurance agent Walter Neff is bleeding from a gunshot wound and slips into his office at the Pacific All Risk Insurance Co. Walter records his murder confession on the dictaphone, addressing his boss and friend, Barton Keyes, a meticulous and intuitive claims agent. Walter thinks back to May when it all started: Walter visits an expensive Spanish-style house in Los Feliz to follow-up an automobile insurance renewal for Mr. Dietrichson. He is immediately attracted to Dietrichson's wife Phyllis, who first appears clad only in a towel. Walter flirts with Phyllis, whose interest is piqued, nevertheless, she rebuffs him and the next day changes his appointment to meet with her husband. When Walter arrives that day, he and Phyllis are alone and she inquires about getting an accident policy for her husband without his knowledge. Upset by her implications, Walter leaves, but his expectation that he has not seen the last of Phyllis is fulfilled when she appears at his apartment. Walter soon gives in to his longing and kisses Phyllis, after which she reveals that she has been abused and neglected by her husband.  Phyllis admits to having fantasies of killing Dietrichson, but his life insurance beneficiary is his mature daughter Lola, who hates her. Walter is repulsed by, and at the same time, strangely drawn to Phyllis's fantasy, and his thoughts linger on how to accomplish an undetectable crime.  Agreeing to help Phyllis kill her husband, Walter meets with Dietrichson and, in Lola's presence, tries to sell him accident insurance. Dietrichson refuses the accident insurance, but enrolls for auto insurance, and is unaware that Walter has given ...
                                                        "
All About Eve ,1950,"
                                                        At the Sarah Siddons Society's annual banquet, imperious theater critic Addison DeWitt, playwright Lloyd Richards and his wife Karen, producer Max Fabian and legendary actress Margo Channing watch as Eve Harrington is presented with the theater's most prestigious award.  Karen recalls when Eve first entered their lives:  On a rainy October night, Karen arrives at the theater where Margo is starring in Lloyd's play, and is approached by Eve, who has been to every performance.  Touched by the young woman's devotion to Margo, Karen brings her backstage.  In Margo's dressing room, Eve describes her childhood in the Midwest and her marriage to Eddie, an Air Force radio technician who was killed in the war.  Eve explains that her life changed when she happened to see Margo in a play in San Francisco, and when the production moved to New York, Eve followed.  Director Bill Sampson, Margo's younger boyfriend, comes to say goodbye before leaving for Hollywood to direct a film.  Eve accompanies Margo and Bill to the airport, and so endears herself to them that Margo moves Eve into her guestroom.  Eve quickly makes herself indispensable as Margo's assistant, to the displeasure of Margo's maid, retired vaudevillian Birdie Coonan. Their relationship becomes strained, however, when Eve arranges a homecoming birthday party for Bill without telling Margo. The night of the party, Margo and Bill quarrel about Eve, and he chides Margo for her jealousy and insecurity about her age.  The tension between them escalates as the guests begin to arrive, and Margo gets drunk and grows maudlin.  Max takes Margo aside and says he has foolishly agreed to audition ...
                                                        "
High Noon ,1952,"
                                                        At 10:30 on a quiet morning in 1870, three outlaws ride into the western town of Hadleyville just as its marshal, Will Kane, is being married to a pretty Quaker named Amy Fowler. To please Amy, Will resigns his post immediately after the ceremony, but he is troubled because the new marshal has not arrived to take his place.  Suddenly the station master rushes in with the terrible news that Frank Miller, a wild outlaw whom Will had arrested for murder five years earlier, recently received a pardon and is due to arrive in Hadleyville on the noon train.  The three outlaws, Jack Colby, Ben Miller and James Pierce, have ridden to the station and are awaiting Miller's arrival. Alarmed, the wedding guests urge Will and Amy to leave town immediately, but after only a few moments on the road, Will turns the wagon around and heads back. ""I expect he'll come looking for me,"" Will replies when Amy asks for an explanation.  Will's young wife begs him to leave with her, and when he protests that he has never run from anyone, she threatens to leave on the train whether or not he accompanies her.  Will hurriedly begins to make plans for the town's defense, and is surprised when Judge Percy Mettrick, who had sentenced Miller to be hanged, packs his belongings and flees.  Will is relieved to see Harvey Pell, his deputy, still in town, but Harvey, angry that an outsider was hired to replace the retiring marshal, agrees to stay only if Will promises to support his bid for the post.  Will refuses, whereupon Harvey removes his guns and walks ...
                                                        "
Mr. Smith Goes to Washington ,1939,"
                                                        The untimely death of Senator Foley presents problems for political boss Jim Taylor, who needed the senator's help to perpetrate a land swindle at Willet Creek. Taylor orders Governor Hubert Hopper, whom he controls, to appoint a yes man, but citizen committees want someone else. Hopper is also besieged by his sons, who ask him to appoint Jefferson Smith, the patriotic leader of the Boy Rangers.  Confused, Hopper appoints Jeff, then convinces Taylor that naïve Jeff cannot learn enough about politics in time to affect the crooked bill.  Jeff's appointment as junior senator is also supported by the senior senator, Joseph Paine, who is both Taylor's stooge and Jeff's idol.  Jeff and Paine go to Washington, where Jeff, overwhelmed by his first sight of the Capitol dome, leaves the group and boards a tour bus. Five hours later, he reaches his office, where his cynical secretary, Clarissa Saunders, is waiting for him with her chum, newspaperman Diz Moore.  They think Jeff's patriotic spirit is hokum, and Saunders engineers a disasterous press conference for Jeff.  The next morning, Paine takes Jeff to be sworn in at the Senate, where one senator objects, alleging that the newspaper stories prove Jeff is unfit. Paine defends Jeff, and after he is sworn in, enraged Jeff goes on a rampage, slugging the reporters, who label him an ""honorary stooge.""  The truth of it stings Jeff, and after seeking advice from Paine, who tells him to sponsor a bill proposing a national Boy Rangers camp, Jeff and Saunders stay up all night working on the bill, which Jeff presents in the Senate the next morning.  Despite Jeff's nervousness, ...
                                                        "
To Kill a Mockingbird ,1962,"
                                                        In a small Alabama town in 1932, widowed lawyer Atticus Finch strives to create an atmosphere free from hatred and prejudice for his two children, six-year-old Scout, a tomboy, and her ten-year-old brother, Jem.  The youngsters lead a carefree life, racing about the town, jeering at eccentric Mrs. Dubose and frightening themselves and their new friend, six-year-old Dill Harris, with exaggerated stories about Arthur ""Boo"" Radley, a supposedly mentally handicapped neighbor whom they have never seen.  When Atticus agrees to represent Tom Robinson, a black man accused of raping a young white woman, Mayella Violet Ewell, the children must defend themselves against the racist taunts of their classmates.  Though Atticus is able to demonstrate Tom's innocence by forcing Mayella to admit that her father beat her when he found her making advances toward Tom, the all-white jury returns a verdict of guilty.  Atticus tries to have the decision reversed, but before he can do so, Tom attempts to escape and is killed.  In revenge against Atticus, Bob Ewell attacks Scout and Jem, but Boo, who has secretly watched over the children and has left gifts for them in a tree trunk, saves them by killing Ewell.  Unwilling to expose Boo to any publicity, Sheriff Heck Tate concludes that Ewell fell on his own knife and decides that there will be no ...
                                                        "
E.T.:  The Extra-Terrestrial ,1982,"
                                                        On a late autumn night, a spaceship filled with foliage and fungi sits among the trees of a quiet forest. Small, squat alien creatures wander near the ship observing plants on Earth until their chests illuminate red. One alien wanders off alone, looking at the city lights below, when a brigade of trucks parks nearby and humans begin to inspect the area with flashlights. The extra-terrestrial’s chest glows red, attracting the attention of the humans, and the creature runs screeching back toward its spaceship. However, the aircraft’s ramp closes and the ship launches into the sky, leaving the alien behind. Meanwhile, as a group of boys play games in a suburban home, Michael instructs his younger brother, Elliott, to retrieve pizzas from the deliveryman. While outside, Elliott hears a rustling in the illuminated shed behind the house. Believing the noise to be coming from the dog, Harvey, the boy tosses a baseball inside the shed, but the ball is thrown back to him. Elliott leads the other boys and his mother, Mary, outside to show them the strange occurrence. There, they find unusual footprints, which they assume were made by coyotes. After everyone has gone to sleep, Elliott inspects the yard and nearby cornfield with a flashlight. He follows a pair of tracks into the dirt and encounters the wrinkly, blue-eyed extra-terrestrial, which screams and runs away. The next morning, Elliott rides his bicycle into the park, dropping a trail of Reese’s Pieces candies behind him, but quickly returns home when he notices a man inspecting the area. During dinner, the boy insists that the alien he saw was real, despite the skepticism from his mother, brother, and younger ...
                                                        "
The Grapes of Wrath ,1940,"
                                                        Tom Joad returns from prison, where he was serving time for manslaughter, to his family's Oklahoma farm and finds the house abandoned. Muley, his half-crazed neighbor, tells Tom about the recent dispossession of the sharecroppers, who have been driven out by drought and the greedy land companies.  Tom finally locates his family as they are about to pack their belongings on a dilapidated truck and head West, lured by promises of work and high wages in California. Joined by their friend Casy, a former ""fire and brimstone"" preacher, the Joads begin their long trek west on Route 66.  Soon after, Grandpa dies and is buried alongside the road.  Their hopes for a bright future are dimmed when a man at a roadside camp warns of no work in California, but the family continues on.  As the Joads cross the great California desert, Grandma dies, and the remainder of the family emerges from the desert to find no jobs and hoards of starving migrants. Poverty and desperation begin to break apart the family as the husband of pregnant daughter Rosasharn leaves her. Despite rumors of labor violence, the family nonetheless hits the road once again.  Hounded by the law and the local citizenry, the Joads find work as strikebreakers. Casy warns Tom that strikebreaking will only drive down wages, and when a deputy murders Casy for his labor organizing, Tom fights back and kills the deputy. With Tom now hunted as a murderer, the family steals away under cover of night and finds temporary refuge in a government agricultural camp.  When the police track Tom down at the camp, however, he is forced to ...
                                                        "
Some Like It Hot ,1959,"
                                                        In Chicago, in February, 1929, federal agent Mulligan sets up a raid on a speakeasy run by notorious bootlegger “Spats” Colombo, based on information provided by small-time gangster “Toothpick” Charlie.  As Mulligan inspects the lively speakeasy, two members of the band, saxophonist Joe and bass player Jerry eagerly discuss plans for their salary from their first job in four months.  The longtime friends begin arguing about how to spend their salary until Jerry notices Mulligan’s badge and they make a hasty exit as the raid begins, avoiding the police roundup.  Putting up their coats as collateral, they place a bet with their bookie, and promptly lose both the bet and their coats.  Desperate, Joe and Jerry visit the musicians’ agency building hoping to line up another job.  At Sid Poliakoff’s agency, receptionist Nellie Weinmeier, incensed over being stood up by Joe a few nights earlier, reveals there is an opening for a bass and sax with a band in an all-expenses paid trip to Florida.  Joe and Jerry eagerly question Sid, only to learn that the positions are in an all-girl band.  Sid tells them of a job at a college dance in Urbana and Joe accepts, then charms Nellie into loaning them her car for the Urbana gig.   Retrieving the car at a garage owned by Toothpick Charlie, Joe and Jerry unintentionally witness Spats and his men shoot Charlie and his men to death for informing on the speakeasy.  Although the musicians are spotted by Spats, he is distracted by Charlie, who revives long enough to allow Joe and Jerry to flee.  After they evade the gangsters, ...
                                                        "
Chinatown ,1974,"
                                                        In 1937 Los Angeles, private detective J. J. ""Jake"" Gittes, who specializes in adultery cases, is hired by the well-dressed Mrs. Evelyn Mulwray to follow her husband Hollis, chief engineer for the Department of Water and Power.  Jake later sits in on a city council meeting, where Mayor Bagby offers his support for a new dam that will guarantee an adequate water supply for the city.  After Hollis emotionally speaks out condemning the project as unsafe, Jake follows him as he inspects the dry Los Angeles riverbed under the Hollenbeck Bridge, then goes out to Point Fermin, where thousands of gallons of water rush through a drainage pipe out into the sea that night.  A few days later, Jake and his associate, Duffy, photographs Hollis rowing a pretty young blonde woman around Echo Park Lake. Jake then follows the couple to the El Macando courtyard apartments, where he secretly takes pictures of the girl embracing Hollis. The next day, one of Jake's photographs is printed on the front page of the newspaper, accompanied by a story about Hollis' ""love nest.""   When Jake arrives at his office, he is stunned to learn that the woman claiming to be Mrs. Mulwray was an imposter, and the real Evelyn, who has come to the office, intends to sue him.  Angry that he has been duped, Jake finesses his way into Hollis' office, but finds no compromising information, only a handwritten notation reading ""Oak Pass Reservoir, Tuesday, 2:00 pm."" His search is interrupted by Hollis' underling, Russ Yelburton, who assures him that Hollis is not the sort of man to have an affair, then escorts Jake out. ...
                                                        "
It's a Wonderful Life ,1947,"
                                                        On Christmas Eve, 1945, prayers are heard in heaven for George Bailey of Bedford Falls, New York.   To help George, Clarence Oddbody, an angel who has not yet earned his wings, is being sent to earth to keep the despairing George from killing himself on this crucial night.  To prepare him for his task, Clarence is shown George's life:  As a child, George stops his younger brother Harry from drowning in an icy pond, then catches a bad cold and loses his hearing in one ear.  Weeks later, George goes back to work at his after school job in Mr. Gower's drugstore and prevents Gower, who has gotten drunk after learning that his son has died of influenza, from accidentally dispensing arsenic-filled capsules to a sick child.  George promises the remorseful Gower never to tell anyone about the incident and he never does.  In 1928, as a grown young man, George, who has always dreamed of travel to exotic places, is about to leave on a world tour with money he has saved since high school.  That night, at his younger brother Harry's high school graduation party, he becomes attracted to Mary Hatch, a girl who has secretly loved him since childhood. After a Charleston contest that results in an unscheduled splash into the school's swimming pool, they discuss their different ideas for the future until George's Uncle Billy comes for him with the news that his father has had a stroke.  After Mr. Bailey's death, George's trip is canceled, but he still plans to leave for college until he learns that the board of directors of his father's financially ...
                                                        "
On the Waterfront ,1954,"
                                                        At the request of mob boss Johnny Friendly, longshoreman Terry Malloy, a former boxer,  lures fellow dock worker Joey Doyle to the roof of his tenement building, purportedly to discuss their shared hobby of pigeon racing.  Believing that Friendly only intends to frighten Joey out of his threat to speak to the New York State Crime Commission, Terry is stunned to see Joey topple from the building as he and his brother, Charley “the Gent,” watch from across the street.  As neighbors gather around Joey’s body, his distraught sister Edie accuses parish priest Father Barry of hiding behind the church and not helping the neighborhood break free from the mob’s grip.   Listening nearby, Terry is disturbed by Edie’s indictment and later joins Charley, Friendly’s lawyer and accountant, at a meeting with Friendly and his lackeys.  Friendly assures Terry that Joey’s death was necessary to preserve his hold on the harbor, then directs dock manager Big Mac to place Terry in the top job slot the following day.  The next morning, while waiting for the day’s work assignment, the dock workers offer their sympathy to Joey’s father Pop, who gives Joey’s jacket to Kayo Dugan.   Meanwhile, Terry is approached by Crime Commission representative Eddy Glover, but refuses to discuss Joey.  Edie then comes down to the docks to apologize to Father Barry, but he admits that her accusation has prompted him to become more involved in the lives of the longshoremen.  As the men disperse for work, Father Barry asks some of them to meet later downstairs in the church, despite being advised that Friendly does not approve of ...
                                                        "
Raging Bull ,1980,"
                                                        In 1941, at a boxing match in Cleveland, Ohio, pandemonium breaks out when Jake La Motta, an up-and-coming young boxer, loses a decision to Jimmy Reeves, suffering his first loss and igniting a brawl in which audience members are trampled underfoot.  Following Jake’s defeat, Salvy Batts, who works for boxing racketeer Tommy Como, informs Jake’s brother and manager Joey that an association with Tommy could advance Jake’s career.  Although Joey agrees with Salvy, he observes that his stubborn brother, whom he affectionately calls ""Jack,"" has ""a head like concrete"" and insists upon remaining independent.  Nevertheless, Joey promises to present Salvy’s offer to Jake, and proceeds to his brother’s dreary, run-down apartment, where Jake is in the middle of a screaming match with his wife Irma.  Once Joey mollifies his enraged brother, the mercurial Jake laments that his small, girlish hands limit his ability to rise to the top.  Suddenly hostile, Jake provokes Joey into hitting him in the face.  Later, when Salvy comes to watch Jake in a sparring match with Joey, Jake becomes so angered by Salvy’s presence that he pummels Joey.  At the neighborhood swimming pool one day, Jake spots blonde, fifteen-year-old Vickie Thailer, who piques his interest and passion.  When Jake questions Joey about Vickie, Joey reminds him that he is a married man.  Leaving Irma at home one night, Jake attends a church charity dance with Joey, where he sees Vickie seated across the room with Salvy.  Watching Vickie drive off with Salvy, Jake sends Joey to the pool the next day to arrange an introduction to her.  When Vickie admires Jake’s shiny convertible, ...
                                                        "
Casablanca ,1943,"
                                                        During World War II, Casablanca, Morocco is a waiting point for throngs of desperate refugees fleeing Nazi-occupied Europe. Exit visas, which are necessary to leave the country, are at a premium, so when two German couriers carrying letters of transit signed by General DeGaulle are murdered and the letters stolen, German Major Strasser and Louis Renault, the prefecture of police, are eager to find the documents. Strasser is particularly concerned that the letters not be sold to Victor Lazlo, the well-known Czech resistance leader, who is rumored to be on his way to Casablanca.  That night, Renault and Strasser search for the killer at Rick's Café Americain, a popular nightclub run by the mysterious American expatriate Richard Blaine. Earlier, Ugarte, a shady dealer in exit visas, had asked Rick to hold the stolen letters temporarily, explaining that he has a buyer for them and with the money from their sale, he plans to leave Casablanca.   Although Rick fought on the side of the loyalists in Spain, he has grown cynical, and when Renault advises him not to interfere with Ugarte's arrest, Rick replies ""I stick my neck out for nobody.""  He makes a bet with Renault, however, that Lazlo will manage to leave Casablanca despite German efforts to stop him.  After Ugarte is arrested, Lazlo and his companion, Ilsa Lund, arrive at Rick's.  Ilsa recognizes Sam, the piano player, and while Lazlo makes covert contact with the underground, Ilsa insists that Sam play the song ""As Time Goes By."" Reluctantly, Sam agrees, and a furious Rick, who had ordered him never to play the song again, emerges from his office to stop him. ...
                                                        "
The Godfather ,1972,"
                                                        In August 1945, during the lavish wedding reception of his daughter Connie, Don Vito Corleone, head of a large New York crime family and ""godfather"" to the Italian-American community, listens to requests for favors, honoring a long-standing Sicilian tradition that a father cannot refuse a request on his daughter's wedding day.  While FBI agents jot down license plate numbers of the guests, and hundreds of celebrants dance, eat and gossip in the Corleone family's Long Beach compound, Don Vito, assisted by his foster son and "
